2026-01-29 10:53:30::9241	[Application] 应用程序启动完成
2026-01-29 10:53:30::9254	[DesktopShortcut] 桌面快捷方式已存在: C:\Users\liangyuhang\Desktop\点胶检测系统.lnk
2026-01-29 10:53:30::9269	[System] 点胶检测系统启动
2026-01-29 10:53:30::9269	[显示模式] FocusedProjects.json文件不存在，将显示所有项目
2026-01-29 10:53:31::1286	初始化同轴光源控制器时出错: 无法加载 DLL“OPTController.dll”: 找不到指定的模块。 (异常来自 HRESULT:0x8007007E)。
2026-01-29 10:53:31::1286	未找到最后使用的模板配置，使用默认相机参数
2026-01-29 10:53:31::1296	相机配置页面初始化完成 - 配置模式需手动激活
2026-01-29 10:53:31::3548	[硬件配置] 硬件配置页面已初始化
2026-01-29 10:53:31::3799	[初始化] VM未加载，跳过样品类型全局变量初始化
2026-01-29 10:53:31::4909	配置文件不存在，已创建默认配置页面
2026-01-29 10:53:31::4972	实时数据记录器：切换到LOT LOT_error，主文件路径：E:\posen_project\点胶检测\上位机程序\WpfApp2\Platform\PlatformHost.Wpf\bin\Release\RealTimeData\LOT_error\LOT_error_20260129_全部数据.csv
2026-01-29 10:53:31::4982	创建LOT目录: E:\posen_project\点胶检测\上位机程序\WpfApp2\Platform\PlatformHost.Wpf\bin\Release\RealTimeData\LOT_error
2026-01-29 10:53:31::5008	实时数据记录器已初始化，当前LOT号：LOT_error
2026-01-29 10:53:31::5087	实时数据记录器初始化完成
2026-01-29 10:53:31::5258	[2D缓存] 2D检测结果缓存已重置
2026-01-29 10:53:31::5278	[SplashScreen] 启动加载完成，关闭启动界面
2026-01-29 10:53:31::9819	远程文件监控服务已初始化
2026-01-29 10:53:32::0736	[远程监控] 已订阅OnLotChanged事件
2026-01-29 10:53:32::0747	[远程监控] 已订阅OnTemplateChanged事件
2026-01-29 10:53:32::0757	[远程监控] 已订阅OnTemplateNotFound事件
2026-01-29 10:53:35::6289	[AutoStartup] 开机启动未启用（用户选择）
2026-01-29 10:53:35::6588	[AutoStartup] 开始初始化PLC自动连接...
2026-01-29 10:53:36::2299	[AutoStartup] PLC自动连接定时器已启动（5秒后执行）
2026-01-29 10:53:39::9307	已进入参数配置页面
2026-01-29 10:53:40::0040	[检测管理器] 检测周期状态已重置，准备下次检测周期
2026-01-29 10:53:40::0045	ConfigPage 页面已加载
2026-01-29 10:53:40::0418	[页面切换] 切换到参数配置页面，已切换为模板配置模式
2026-01-29 10:53:40::0454	当前模板显示已更新: MESA-25
2026-01-29 10:53:40::4086	[AutoStartup] 开始尝试自动连接PLC串口...
2026-01-29 10:53:40::4106	[AutoStartup] 未发现可用串口，跳过PLC自动连接
2026-01-29 10:53:42::5919	[检测管理器] 检测周期状态已重置，准备下次检测周期
2026-01-29 10:53:42::5931	[2D缓存] 2D检测结果缓存已重置
2026-01-29 10:53:42::5945	[3D缓存] 3D检测数据缓存已重置
